Feature,Importance
AAC_L,0.020043828
AAC_A,0.014369195
AAC_E,0.012523137
AAC_D,0.012492207
DPC_NA,0.011999819
AAC_T,0.011989279
AAC_C,0.011344787
DPC_ND,0.0103110885
DPC_HD,0.007746178
DPC_AN,0.0065024765
DPC_CH,0.006306287
SignalPeptide_Present,0.0059910463
DPC_TT,0.0058882013
DPC_LQ,0.005875988
TM_Present,0.0057355645
DPC_LL,0.0056766467
AAC_I,0.0053857844
AAC_K,0.005240582
DPC_DA,0.005209431
DPC_ST,0.005207045
DPC_EE,0.005055495
DPC_KE,0.0048201024
Molecular_Weight,0.00464367
DPC_YD,0.0045818626
DPC_AT,0.004547898
DPC_AI,0.0045341616
DPC_IA,0.0044894684
AAC_N,0.0044526365
DPC_NN,0.0043146275
DPC_QE,0.0041447
DPC_PG,0.004092121
DPC_FA,0.004022078
Mean_Disorder_Score,0.003954669
DPC_PC,0.0039022262
DPC_LC,0.003880642
DPC_CP,0.003822863
DPC_HY,0.0037905045
DPC_SN,0.0037773172
DPC_DD,0.0037391158
DPC_KM,0.0035604662
DPC_FD,0.0035522731
DPC_WW,0.0035239016
MultiPass_TM,0.0034996849
DPC_EK,0.0034946932
Length,0.0034665065
NonPolar_Fraction,0.003444794
DPC_CD,0.0034399303
DPC_PI,0.00329252
DPC_DY,0.0032680389
DPC_YH,0.0032437218
DPC_GY,0.0032145896
Polar_Fraction,0.0031712367
DPC_ID,0.003128814
DPC_CE,0.0031214806
Bulky_AA_Fraction,0.0031202834
DPC_LK,0.003096439
DPC_DN,0.003079839
DPC_FF,0.0030722888
DPC_GP,0.0030656287
PseAAC_lambda9,0.0030316338
Cleavage_Confidence,0.003018178
DPC_MT,0.0029796076
DPC_IW,0.0029608798
DPC_SC,0.0029241014
DPC_WK,0.002910188
DPC_HM,0.0028743441
Small_AA_Fraction,0.0028463607
DPC_SI,0.0028403958
DPC_PT,0.002803383
DPC_HN,0.0027960485
DPC_MR,0.002749424
DPC_TS,0.0027324941
DPC_RW,0.0027322122
DPC_LW,0.0027195797
DPC_YC,0.0027123445
DPC_MM,0.0026504935
Isoelectric_Point,0.0026475443
DPC_CY,0.002614883
Secretion_Motif_Present,0.0026142197
DPC_AY,0.0026119803
DPC_TN,0.0026055828
DPC_GN,0.0025911515
DPC_VY,0.0025511363
DPC_NV,0.002546251
DPC_DE,0.002536128
DPC_WC,0.0025325958
DPC_PN,0.002525176
AAC_V,0.0025148308
AAC_S,0.0025086747
DPC_FW,0.0025081688
Nterm_GRAVY_25,0.0024761083
Net_Charge_pH7,0.002468528
DPC_MY,0.0024660358
DPC_WP,0.00246577
DPC_MW,0.002461892
DPC_SK,0.0024617729
DPC_CC,0.0024487453
DPC_MI,0.0024028611
DPC_SA,0.0023913954
PseAAC_lambda12,0.0023720039
DPC_LE,0.0023573623
Hydrophilic_Fraction,0.0023554657
LowComplexity_Fraction,0.0023436197
AAC_Q,0.0023162004
DPC_WI,0.002302996
DPC_VW,0.002290077
PseAAC_lambda8,0.002289508
DPC_DI,0.0022777105
DPC_DF,0.002274741
DPC_CV,0.0022530118
DPC_IS,0.0022386904
DPC_CI,0.0022305779
DPC_QC,0.002230501
DPC_PS,0.002230226
DPC_DC,0.0022271378
Positive_Fraction,0.002208782
DPC_CR,0.0022018102
DPC_WY,0.002197921
DPC_CG,0.0021948917
DPC_TH,0.0021921564
PseAAC_lambda26,0.0021705793
DPC_VQ,0.0021650528
DPC_KI,0.0021477197
DPC_FY,0.002143519
DPC_YF,0.0021353948
AAC_R,0.0021265086
DPC_FR,0.0020876722
DPC_MD,0.002085435
DPC_ME,0.0020854347
DPC_TY,0.0020836492
PseAAC_lambda4,0.002076132
DPC_GM,0.0020755546
DPC_IV,0.0020656956
DPC_CW,0.0020648793
DPC_GG,0.0020641405
DPC_AA,0.002062616
DPC_TD,0.0020607146
Hydrophobic_Fraction,0.0020597002
AAC_Y,0.0020485253
DPC_EV,0.0020461152
DPC_NQ,0.0020441825
DPC_RP,0.0020392481
DPC_HA,0.002037764
DPC_AD,0.0020375212
DPC_ER,0.002037117
DPC_MK,0.0020333189
DPC_RD,0.0020333063
AAC_M,0.0020267386
PseAAC_lambda10,0.0020229453
DPC_NG,0.0020198317
PseAAC_lambda5,0.0020156538
DPC_TI,0.0020120835
DPC_IE,0.0020059708
DPC_EG,0.001998573
DPC_RI,0.0019981198
DPC_CK,0.001996226
DPC_SV,0.0019959002
DPC_CL,0.0019890275
DPC_YN,0.0019872934
DPC_WM,0.0019712665
DPC_TC,0.001970366
DPC_VC,0.0019695621
DPC_SH,0.0019641737
DPC_RK,0.0019576973
DPC_PF,0.0019499572
DPC_TR,0.0019459424
DPC_FG,0.0019454914
DPC_GW,0.0019454022
DPC_NK,0.0019420525
DPC_NL,0.0019416584
DPC_QL,0.0019322198
DPC_MS,0.0019315504
DPC_IQ,0.0019300894
DPC_PP,0.0019299831
DPC_HQ,0.0019289092
